Which video did you just watch?,Age,Gender,"As a CHILD (before age 12), how often you Felt Sick or Nauseated: [Cars]","As a CHILD (before age 12), how often you Felt Sick or Nauseated: [Buses]","As a CHILD (before age 12), how often you Felt Sick or Nauseated: [Trains]","As a CHILD (before age 12), how often you Felt Sick or Nauseated: [Aircraft]","As a CHILD (before age 12), how often you Felt Sick or Nauseated: [Small boats]","As a CHILD (before age 12), how often you Felt Sick or Nauseated: [Ships]","As a CHILD (before age 12), how often you Felt Sick or Nauseated: [Swings in playgrounds]","As a CHILD (before age 12), how often you Felt Sick or Nauseated: [Roundabouts in playgrounds]","As a CHILD (before age 12), how often you Felt Sick or Nauseated: [Amusement park rides]",Unnamed: 13,"Over the LAST 10 YEARS, how often you Felt Sick or Nauseated: [Cars]","Over the LAST 10 YEARS, how often you Felt Sick or Nauseated: [Buses]","Over the LAST 10 YEARS, how often you Felt Sick or Nauseated: [Trains]","Over the LAST 10 YEARS, how often you Felt Sick or Nauseated: [Aircraft]","Over the LAST 10 YEARS, how often you Felt Sick or Nauseated: [Small boats]","Over the LAST 10 YEARS, how often you Felt Sick or Nauseated: [Ships]","Over the LAST 10 YEARS, how often you Felt Sick or Nauseated: [Swings in playgrounds]","Over the LAST 10 YEARS, how often you Felt Sick or Nauseated: [Roundabouts in playgrounds]","Over the LAST 10 YEARS, how often you Felt Sick or Nauseated: [Amusement park rides]",Select how much each symptom was affected by watching the video: [General Discomfort],Select how much each symptom was affected by watching the video: [Fatigue],Select how much each symptom was affected by watching the video: [Headache],Select how much each symptom was affected by watching the video: [Eye Strain],Select how much each symptom was affected by watching the video: [Difficulty Focusing],Select how much each symptom was affected by watching the video: [Increased Salivation],Select how much each symptom was affected by watching the video: [Sweating],Select how much each symptom was affected by watching the video: [Nausea],Select how much each symptom was affected by watching the video: [Difficulty Concentrating],Select how much each symptom was affected by watching the video: [Fullness of Head],Select how much each symptom was affected by watching the video: [Blurred Vision],Select how much each symptom was affected by watching the video: [Dizzy (eyes open)],Select how much each symptom was affected by watching the video: [Dizzy (eyes closed)],Select how much each symptom was affected by watching the video: [Vertigo],Select how much each symptom was affected by watching the video: [Stomach Awareness],Select how much each symptom was affected by watching the video: [Burping],Participant ID
sharks,19,Male,Sometimes felt sick,Rarely felt sick,Never felt sick,Never felt sick,N/A (never experienced),N/A (never experienced),Never felt sick,Rarely felt sick,Sometimes felt sick,,Rarely felt sick,Rarely felt sick,Never felt sick,Never felt sick,N/A (never experienced),N/A (never experienced),Never felt sick,Never felt sick,Rarely felt sick,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1
dunerovers,22,Male,Frequently felt sick,Rarely felt sick,Never felt sick,Never felt sick,N/A (never experienced),N/A (never experienced),Never felt sick,Never felt sick,Never felt sick,,Rarely felt sick,Rarely felt sick,Never felt sick,Never felt sick,N/A (never experienced),Never felt sick,Never felt sick,Never felt sick,Never felt sick,Slight,None,None,Slight,None,None,None,None,Slight,None,Slight,Slight,None,None,None,None,2
dotsall,23,Female,Sometimes felt sick,Rarely felt sick,Never felt sick,Sometimes felt sick,Never felt sick,Rarely felt sick,Never felt sick,Never felt sick,Never felt sick,,Rarely felt sick,Never felt sick,Never felt sick,Rarely felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Slight,Slight,None,None,None,None,None,None,Slight,None,Slight,Moderate,None,Moderate,None,None,3
woodencoaster,20,Female,Rarely felt sick,Rarely felt sick,Rarely felt sick,Rarely felt sick,Rarely felt sick,Rarely felt sick,Never felt sick,Sometimes felt sick,Rarely felt sick,,Rarely felt sick,Rarely felt sick,Rarely felt sick,Rarely felt sick,Rarely felt sick,Rarely felt sick,Never felt sick,Sometimes felt sick,Rarely felt sick,Slight,Slight,Slight,Slight,None,None,None,None,None,Slight,None,None,None,None,None,None,4
roadcar,21,Female,Rarely felt sick,Sometimes felt sick,Frequently felt sick,Sometimes felt sick,Rarely felt sick,N/A (never experienced),Never felt sick,Rarely felt sick,Sometimes felt sick,,Rarely felt sick,Sometimes felt sick,Frequently felt sick,Sometimes felt sick,Rarely felt sick,N/A (never experienced),Never felt sick,Rarely felt sick,Sometimes felt sick,Slight,Slight,Slight,Slight,Moderate,None,None,None,Slight,Slight,Moderate,Slight,Slight,Slight,None,None,5
skyhouse,23,Female,Sometimes felt sick,Frequently felt sick,Never felt sick,Sometimes felt sick,Frequently felt sick,N/A (never experienced),Never felt sick,Sometimes felt sick,Sometimes felt sick,,Sometimes felt sick,Sometimes felt sick,Never felt sick,Sometimes felt sick,Frequently felt sick,N/A (never experienced),Frequently felt sick,Sometimes felt sick,Sometimes felt sick,Slight,None,Moderate,Slight,Severe,None,None,Slight,Slight,None,Slight,Slight,Moderate,None,Slight,None,6
snowplanet,24,Female,Rarely felt sick,Never felt sick,Never felt sick,Rarely felt sick,Frequently felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,,Frequently felt sick,Rarely felt sick,Never felt sick,Rarely felt sick,Frequently felt sick,Never felt sick,Never felt sick,Rarely felt sick,Never felt sick,Slight,Slight,None,Slight,Slight,None,None,None,Slight,Slight,None,None,None,None,None,None,7
flyingcar,24,Male,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Rarely felt sick,Rarely felt sick,,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Rarely felt sick,Rarely felt sick,Moderate,Moderate,Slight,Severe,Moderate,Slight,None,Severe,Moderate,None,Slight,Moderate,Moderate,Severe,Moderate,None,8
helicoptercrash,26,Male,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Sometimes felt sick,Sometimes felt sick,Never felt sick,Never felt sick,Never felt sick,,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Sometimes felt sick,Sometimes felt sick,Never felt sick,Never felt sick,Never felt sick,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,9
gardens,23,Male,Sometimes felt sick,Sometimes felt sick,Sometimes felt sick,Rarely felt sick,Sometimes felt sick,Sometimes felt sick,Sometimes felt sick,Sometimes felt sick,Sometimes felt sick,,Rarely felt sick,Sometimes felt sick,Sometimes felt sick,Rarely felt sick,Sometimes felt sick,Sometimes felt sick,Rarely felt sick,Rarely felt sick,Rarely felt sick,Slight,None,None,Slight,Moderate,None,None,None,Slight,Slight,Moderate,Slight,Slight,None,Slight,None,10
